blade_length,wind_speed,turbine_stats,energy_output,motor_tempreture,blade_angle,vibration_level,humidity,air_pressure,category,anti_rust,efficiency
61.0,14.0,off,4055,58,21,7,44,994,large,,46.0
24.0,18.0,optimal,151,58,10,2,46,1043,large,0.0,69.0
81.0,20.0,optimal,100,32,25,2,80,912,medium,0.0,85.0
70.0,9.0,needs to be repaired,3910,68,25,8,32,1068,large,0.0,90.0
30.0,15.0,needs to be repaired,5000,74,34,9,54,983,large,1.0,91.0
92.0,23.0,needs to be repaired,1724,33,37,8,34,1029,small,,74.0
96.0,12.0,optimal,2054,69,10,1,28,1072,small,1.0,65.0
84.0,23.0,optimal,2251,48,30,2,72,1039,medium,0.0,77.0
84.0,24.0,optimal,3059,64,1,0,50,1017,small,1.0,53.0
97.0,,optimal,4022,53,23,8,87,1009,large,0.0,78.0
33.0,,needs to be repaired,3384,66,32,2,63,928,small,0.0,7.0
12.0,16.0,needs to be repaired,2629,61,22,2,47,1096,large,1.0,9.0
31.0,17.0,needs to be repaired,4481,22,31,4,78,1083,medium,1.0,100.0
62.0,25.0,optimal,724,57,37,2,57,994,large,0.0,71.0
11.0,25.0,optimal,2783,35,35,2,81,1029,nan,1.0,17.0
97.0,22.0,optimal,1262,71,6,8,78,1005,large,1.0,59.0
39.0,19.0,optimal,1550,71,36,6,46,1061,nan,1.0,55.0
47.0,19.0,off,3335,33,33,0,79,999,medium,,5.0
11.0,16.0,needs to be repaired,3462,54,1,10,37,1020,medium,0.0,80.0
73.0,13.0,needs to be repaired,3692,65,5,8,40,953,small,1.0,23.0
69.0,23.0,off,4525,60,7,3,45,1025,medium,1.0,30.0
30.0,16.0,needs to be repaired,872,45,16,10,34,1068,large,1.0,46.0
42.0,9.0,optimal,1392,56,2,3,78,959,large,,
85.0,25.0,needs to be repaired,2963,50,4,0,75,901,medium,1.0,67.0
,24.0,optimal,4680,52,1,4,66,960,nan,1.0,
31.0,14.0,optimal,866,63,12,3,25,1002,small,1.0,92.0
98.0,11.0,optimal,3758,73,42,8,53,1043,large,1.0,85.0
58.0,,off,535,64,2,8,26,1080,small,0.0,29.0
100.0,12.0,needs to be repaired,4263,51,11,6,58,1093,large,1.0,52.0
68.0,25.0,optimal,2732,47,24,1,58,1038,medium,0.0,36.0
51.0,11.0,needs to be repaired,2672,26,36,6,52,986,medium,,3.0
69.0,20.0,off,3834,61,13,9,24,922,large,0.0,67.0
89.0,20.0,needs to be repaired,3692,29,8,5,45,999,small,,93.0
24.0,18.0,needs to be repaired,4307,40,27,1,51,914,medium,1.0,67.0
71.0,19.0,needs to be repaired,2018,71,30,10,43,1005,medium,1.0,69.0
71.0,24.0,needs to be repaired,5000,47,1,4,69,1088,medium,,31.0
